_sheet,SO2 μg/m3,PM10 μg/m3,PM2.5 μg/m3,CO mg/m3,NO μg/m3,NO2 μg/m3,O3 μg/m3
Στ. 25ης ΜΑΡΤΙΟΥ,6.808219178082192,34.24252953439889,,0.638082001389854,23.611517367458866,36.70228310502283,47.24930555555556
Στ. ΕΓΝΑΤΙΑΣ,8.36986301369863,49.421527777777776,34.52893890675241,1.4836805555555554,108.91141552511415,85.59178082191781,33.67986111111111
Στ. ΕΠΤΑΠΥΡΓΙΟΥ,,30.145732130464953,20.33379597501735,0.42993079584775085,11.608219178082193,25.09315068493151,61.529493407356
Στ. ΛΑΓΚΑΔΑ,4.638356164383562,47.260416666666664,,0.7316239316239317,48.61095890410959,39.13972602739726,42.81388888888889
Στ. ΜΑΛΑΚΟΠΗΣ,,30.818092428711896,,,,,56.038861901457324
Στ. ΝΕΟΥ ΔΗΜΑΡΧΕΙΟΥ,,32.726027397260275,21.564383561643837,,18.898071625344354,28.451790633608816,46.21643835616438
