_sheet,SO2 μg/m3,PM10 μg/m3,PM2.5 μg/m3,CO mg/m3,NO μg/m3,NO2 μg/m3,O3 μg/m3,Δημοτική Κοινότητα,Πληθυσμός,Ρύποι ανά κάτοικο
Στ. 25ης ΜΑΡΤΙΟΥ,6.808219178082192,34.24252953439889,,0.638082001389854,23.611517367458863,36.70228310502283,47.24930555555556,4ο Διαμέρισμα,81615,0.00030478861471932894
Στ. ΕΓΝΑΤΙΑΣ,8.36986301369863,49.421527777777776,34.52893890675241,1.4836805555555554,108.91141552511417,85.59178082191781,33.67986111111111,1ο Διαμέρισμα,44434,0.0010352017043317135
Στ. ΕΠΤΑΠΥΡΓΙΟΥ,,30.145732130464957,20.33379597501735,0.4299307958477508,11.608219178082193,25.09315068493151,61.529493407356,3ο Διαμέρισμα,27295,0.0009106693666220903
Στ. ΛΑΓΚΑΔΑ,4.638356164383562,47.26041666666666,,0.7316239316239317,48.61095890410959,39.13972602739726,42.81388888888889,2ο Διαμέρισμα,29812,0.0010241679557620527
Στ. ΜΑΛΑΚΟΠΗΣ,,30.818092428711896,,,,,56.03886190145733,4ο Διαμέρισμα,81615,0.000532113914906385
Στ. ΝΕΟΥ ΔΗΜΑΡΧΕΙΟΥ,,32.726027397260275,21.56438356164384,,18.898071625344357,28.451790633608816,46.21643835616438,5ο Διαμέρισμα,132040,0.00022395745467134457
