Στ. Ατμοσφαιρικής Ρύπανσης   οδού Εγνατίας (Κέντρο Πόλης),A.A.,Ημερο- μηνία,Ημέρα,SO2 μg/m3,PM10 μg/m3,PM2.5 μg/m3,CO mg/m3,NO μg/m3,NO2 μg/m3,O3 μg/m3,_sheet,Στ. Ατμοσφαιρικής Ρύπανσης   οδού 25ης Μαρτίου (Αν. Θεσ/νίκη),Στ. Ατμοσφαιρικής Ρύπανσης   οδού Λαγκαδά (Δυτ. Θεσ/νίκη),Στ. Ατμοσφαιρικής Ρύπανσης   Επταπυργίου (Άνω Πόλη),Στ. Ατμοσφαιρικής Ρύπανσης   Μαλακοπής (Αν. Θεσ/νίκη περιοχή Τούμπας),Στ. Ατμοσφαιρικής Ρύπανσης   Νέου Δημαρχείου (Γεωγραφικό κέντρο πόλης)
,8849.0,2013-03-24,2013-03-24,10.0,49.0,34.0,1.1,111.0,93.0,37.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8850.0,2013-03-25,2013-03-25,5.0,36.0,21.0,0.6,50.0,75.0,72.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8851.0,2013-03-26,2013-03-26,5.0,69.0,35.0,1.0,92.0,80.0,38.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8852.0,2013-03-27,2013-03-27,4.0,58.0,31.0,1.3,129.0,83.0,18.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8853.0,2013-03-28,2013-03-28,3.0,47.0,28.0,1.1,123.0,74.0,16.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8854.0,2013-03-29,2013-03-29,2.0,52.0,31.0,1.1,112.0,70.0,18.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8855.0,2013-03-30,2013-03-30,6.0,60.0,40.0,1.2,115.0,79.0,16.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8856.0,2013-03-31,2013-03-31,4.0,84.0,53.0,1.3,127.0,71.0,8.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8857.0,2013-04-01,2013-04-01,6.0,66.0,39.0,1.1,123.0,98.0,18.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8858.0,2013-04-02,2013-04-02,3.0,71.0,39.0,1.1,140.0,96.0,10.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8859.0,2013-04-03,2013-04-03,5.0,62.0,31.0,1.0,110.0,88.0,24.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8860.0,2013-04-04,2013-04-04,5.0,53.0,26.0,1.0,154.0,98.0,30.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8861.0,2013-04-05,2013-04-05,5.0,63.0,36.0,1.2,74.0,100.0,20.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8862.0,2013-04-06,2013-04-06,5.0,71.0,39.0,0.9,59.0,90.0,27.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8863.0,2013-04-07,2013-04-07,2.0,60.0,30.0,0.7,99.0,76.0,30.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8864.0,2013-04-08,2013-04-08,4.0,43.0,22.0,0.9,104.0,76.0,23.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8865.0,2013-04-09,2013-04-09,4.0,31.0,19.0,0.8,74.0,78.0,34.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8866.0,2013-04-10,2013-04-10,5.0,37.0,23.0,0.9,86.0,86.0,33.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8867.0,2013-04-11,2013-04-11,5.0,52.0,30.0,1.1,148.0,98.0,23.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8868.0,2013-04-12,2013-04-12,5.0,48.0,28.0,0.9,129.0,63.0,30.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8869.0,2013-04-13,2013-04-13,3.0,46.0,32.0,0.8,89.0,68.0,34.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8870.0,2013-04-14,2013-04-14,4.0,34.0,20.0,0.6,48.0,54.0,42.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8871.0,2013-04-15,2013-04-15,4.0,32.0,20.0,0.7,79.0,70.0,43.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8872.0,2013-04-16,2013-04-16,6.0,32.0,20.0,0.8,93.0,59.0,34.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8873.0,2013-04-17,2013-04-17,8.0,35.0,21.0,0.9,77.0,60.0,45.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8874.0,2013-04-18,2013-04-18,6.0,40.0,23.0,0.6,91.0,64.0,51.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8875.0,2013-04-19,2013-04-19,7.0,45.0,27.0,0.8,115.0,59.0,38.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8876.0,2013-04-20,2013-04-20,6.0,43.0,26.0,0.6,127.0,60.0,41.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8877.0,2013-04-21,2013-04-21,6.0,43.0,25.0,0.6,100.0,59.0,43.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8878.0,2013-04-22,2013-04-22,5.0,56.0,30.0,0.9,83.0,72.0,41.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8879.0,2013-04-23,2013-04-23,6.0,48.0,28.0,0.7,84.0,79.0,50.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8880.0,2013-04-24,2013-04-24,6.0,53.0,29.0,1.0,101.0,63.0,33.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8881.0,2013-04-25,2013-04-25,9.0,61.0,34.0,1.1,45.0,42.0,30.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8882.0,2013-04-26,2013-04-26,7.0,54.0,33.0,1.1,84.0,50.0,38.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8883.0,2013-04-27,2013-04-27,2.0,37.0,27.0,0.9,118.0,48.0,48.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8884.0,2013-04-28,2013-04-28,4.0,39.0,28.0,0.8,112.0,53.0,51.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8885.0,2013-04-29,2013-04-29,3.0,61.0,37.0,1.0,102.0,72.0,46.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8886.0,2013-04-30,2013-04-30,5.0,66.0,36.0,1.0,104.0,79.0,48.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8887.0,2013-05-01,2013-05-01,4.0,58.0,30.0,0.9,65.0,73.0,45.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8888.0,2013-05-02,2013-05-02,3.0,50.0,26.0,0.8,71.0,70.0,46.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8889.0,2013-05-03,2013-05-03,2.0,42.0,23.0,0.6,53.0,60.0,50.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8890.0,2013-05-04,2013-05-04,3.0,40.0,21.0,0.6,48.0,63.0,53.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8891.0,2013-05-05,2013-05-05,4.0,39.0,21.0,0.4,38.0,52.0,56.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8892.0,2013-05-06,2013-05-06,2.0,38.0,22.0,0.5,40.0,49.0,54.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8893.0,2013-05-07,2013-05-07,2.0,35.0,19.0,0.5,49.0,50.0,39.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8894.0,2013-05-08,2013-05-08,3.0,35.0,18.0,0.6,66.0,56.0,35.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8895.0,2013-05-09,2013-05-09,3.0,38.0,20.0,0.8,102.0,61.0,40.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8896.0,2013-05-10,2013-05-10,2.0,34.0,18.0,0.7,74.0,63.0,35.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8897.0,2013-05-11,2013-05-11,6.0,31.0,18.0,0.6,54.0,62.0,43.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8898.0,2013-05-12,2013-05-12,4.0,27.0,15.0,0.5,79.0,65.0,49.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8899.0,2013-05-13,2013-05-13,3.0,35.0,18.0,0.9,127.0,53.0,33.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8900.0,2013-05-14,2013-05-14,3.0,29.0,15.0,0.9,119.0,61.0,37.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8901.0,2013-05-15,2013-05-15,6.0,34.0,19.0,0.8,103.0,65.0,34.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8902.0,2013-05-16,2013-05-16,6.0,40.0,20.0,0.7,72.0,61.0,15.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8903.0,2013-05-17,2013-05-17,2.0,40.0,21.0,0.9,66.0,58.0,57.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8904.0,2013-05-18,2013-05-18,2.0,51.0,26.0,0.8,75.0,64.0,51.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8905.0,2013-05-19,2013-05-19,2.0,62.0,31.0,0.6,92.0,58.0,51.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8906.0,2013-05-20,2013-05-20,1.0,63.0,31.0,0.6,70.0,63.0,56.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8907.0,2013-05-21,2013-05-21,5.0,67.0,34.0,0.8,116.0,80.0,71.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8908.0,2013-05-22,2013-05-22,2.0,77.0,36.0,0.8,74.0,75.0,60.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8909.0,2013-05-23,2013-05-23,2.0,70.0,32.0,0.6,68.0,63.0,73.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8910.0,2013-05-24,2013-05-24,6.0,32.0,18.0,0.7,72.0,70.0,48.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8911.0,2013-05-25,2013-05-25,6.0,26.0,15.0,0.4,53.0,53.0,49.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8912.0,2013-05-26,2013-05-26,4.0,33.0,17.0,0.5,44.0,49.0,56.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8913.0,2013-05-27,2013-05-27,8.0,26.0,15.0,0.5,63.0,62.0,54.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8914.0,2013-05-28,2013-05-28,5.0,33.0,18.0,0.9,68.0,68.0,46.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8915.0,2013-05-29,2013-05-29,3.0,48.0,24.0,0.7,60.0,71.0,55.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8916.0,2013-05-30,2013-05-30,8.0,60.0,30.0,0.9,77.0,70.0,42.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8917.0,2013-05-31,2013-05-31,7.0,36.0,19.0,0.9,98.0,67.0,53.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8918.0,2013-06-01,2013-06-01,7.0,25.0,14.0,0.5,66.0,57.0,54.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8919.0,2013-06-02,2013-06-02,6.0,24.0,12.0,0.5,42.0,50.0,51.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8920.0,2013-06-03,2013-06-03,3.0,28.0,14.0,0.8,74.0,67.0,53.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8921.0,2013-06-04,2013-06-04,2.0,29.0,16.0,1.4,87.0,66.0,58.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8922.0,2013-06-05,2013-06-05,4.0,35.0,18.0,0.8,84.0,67.0,59.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8923.0,2013-06-06,2013-06-06,4.0,30.0,17.0,0.9,85.0,61.0,51.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8924.0,2013-06-07,2013-06-07,3.0,30.0,16.0,0.7,95.0,68.0,55.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8925.0,2013-06-08,2013-06-08,2.0,27.0,14.0,0.7,69.0,61.0,60.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8926.0,2013-06-09,2013-06-09,4.0,27.0,14.0,0.6,41.0,50.0,58.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8927.0,2013-06-10,2013-06-10,2.0,37.0,19.0,0.9,67.0,61.0,52.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8928.0,2013-06-11,2013-06-11,5.0,38.0,19.0,1.0,78.0,67.0,54.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8929.0,2013-06-12,2013-06-12,6.0,32.0,15.0,0.9,91.0,62.0,48.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8930.0,2013-06-13,2013-06-13,2.0,33.0,16.0,0.7,82.0,65.0,36.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8931.0,2013-06-14,2013-06-14,1.0,41.0,21.0,1.3,97.0,80.0,42.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8932.0,2013-06-15,2013-06-15,4.0,40.0,20.0,0.9,89.0,79.0,52.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8933.0,2013-06-16,2013-06-16,5.0,36.0,18.0,0.7,72.0,75.0,63.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8934.0,2013-06-17,2013-06-17,2.0,45.0,24.0,0.6,49.0,73.0,61.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8935.0,2013-06-18,2013-06-18,2.0,52.0,26.0,0.5,59.0,76.0,50.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8936.0,2013-06-19,2013-06-19,2.0,48.0,25.0,0.6,56.0,76.0,54.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8937.0,2013-06-20,2013-06-20,2.0,46.0,23.0,0.5,49.0,62.0,54.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8938.0,2013-06-21,2013-06-21,3.0,46.0,23.0,0.6,53.0,61.0,59.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8939.0,2013-06-22,2013-06-22,6.0,44.0,22.0,0.4,48.0,54.0,52.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8940.0,2013-06-23,2013-06-23,9.0,51.0,24.0,0.3,54.0,54.0,52.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8941.0,2013-06-24,2013-06-24,7.0,36.0,17.0,0.2,47.0,52.0,61.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8942.0,2013-06-25,2013-06-25,3.0,54.0,25.0,0.6,68.0,66.0,58.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8943.0,2013-06-26,2013-06-26,3.0,58.0,29.0,0.8,114.0,66.0,54.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8944.0,2013-06-27,2013-06-27,10.0,46.0,25.0,1.0,125.0,64.0,41.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8945.0,2013-06-28,2013-06-28,7.0,31.0,22.0,0.6,93.0,61.0,45.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8946.0,2013-06-29,2013-06-29,1.0,35.0,26.0,0.8,79.0,57.0,54.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8947.0,2013-06-30,2013-06-30,1.0,24.0,19.0,0.3,54.0,55.0,61.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8948.0,2013-07-01,2013-07-01,3.0,31.0,16.0,0.2,100.0,61.0,53.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8949.0,2013-07-02,2013-07-02,2.0,33.0,17.0,0.6,65.0,58.0,51.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8950.0,2013-07-03,2013-07-03,7.0,46.0,21.0,0.7,53.0,58.0,46.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8951.0,2013-07-04,2013-07-04,5.0,40.0,25.0,0.6,84.0,61.0,45.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8952.0,2013-07-05,2013-07-05,1.0,34.0,29.0,0.8,84.0,64.0,46.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8953.0,2013-07-06,2013-07-06,1.0,23.0,19.0,0.5,57.0,51.0,48.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8954.0,2013-07-07,2013-07-07,1.0,26.0,22.0,0.5,82.0,52.0,51.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8955.0,2013-07-08,2013-07-08,1.0,26.0,20.0,0.6,78.0,59.0,51.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8956.0,2013-07-09,2013-07-09,2.0,41.0,25.0,0.6,97.0,72.0,53.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8957.0,2013-07-10,2013-07-10,2.0,39.0,20.0,1.0,93.0,76.0,52.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8958.0,2013-07-11,2013-07-11,4.0,39.0,19.0,0.7,64.0,68.0,51.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8959.0,2013-07-12,2013-07-12,5.0,44.0,23.0,0.9,91.0,75.0,48.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8960.0,2013-07-13,2013-07-13,6.0,35.0,21.0,0.6,86.0,63.0,57.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8961.0,2013-07-14,2013-07-14,6.0,28.0,18.0,1.4,90.0,65.0,60.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8962.0,2013-07-15,2013-07-15,3.0,39.0,24.0,1.0,122.0,77.0,50.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8963.0,2013-07-16,2013-07-16,2.0,39.0,25.0,0.8,61.0,61.0,59.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8964.0,2013-07-17,2013-07-17,3.0,41.0,23.0,0.7,79.0,63.0,43.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8965.0,2013-07-18,2013-07-18,3.0,41.0,22.0,0.8,76.0,71.0,37.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8966.0,2013-07-19,2013-07-19,1.0,38.0,19.0,0.6,53.0,58.0,44.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8967.0,2013-07-20,2013-07-20,3.0,39.0,20.0,0.6,46.0,57.0,44.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8968.0,2013-07-21,2013-07-21,3.0,44.0,23.0,0.5,66.0,65.0,50.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8969.0,2013-07-22,2013-07-22,1.0,30.0,16.0,0.5,52.0,53.0,45.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8970.0,2013-07-23,2013-07-23,2.0,37.0,20.0,0.8,66.0,61.0,35.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8971.0,2013-07-24,2013-07-24,2.0,38.0,20.0,0.9,73.0,68.0,43.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8972.0,2013-07-25,2013-07-25,2.0,48.0,25.0,1.0,61.0,80.0,43.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8973.0,2013-07-26,2013-07-26,6.0,52.0,29.0,1.3,104.0,92.0,40.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8974.0,2013-07-27,2013-07-27,2.0,41.0,22.0,0.7,48.0,63.0,67.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8975.0,2013-07-28,2013-07-28,1.0,35.0,18.0,0.7,33.0,51.0,50.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8976.0,2013-07-29,2013-07-29,1.0,39.0,22.0,0.9,43.0,62.0,30.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8977.0,2013-07-30,2013-07-30,3.0,44.0,23.0,1.1,66.0,71.0,33.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8978.0,2013-07-31,2013-07-31,3.0,37.0,19.0,1.0,124.0,71.0,44.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8979.0,2013-08-01,2013-08-01,2.0,28.0,15.0,0.8,65.0,63.0,54.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8980.0,2013-08-02,2013-08-02,0.0,33.0,18.0,1.0,55.0,64.0,34.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8981.0,2013-08-03,2013-08-03,6.0,33.0,18.0,0.8,40.0,59.0,37.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8982.0,2013-08-04,2013-08-04,4.0,33.0,17.0,0.8,48.0,62.0,45.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8983.0,2013-08-05,2013-08-05,5.0,25.0,13.0,0.8,47.0,55.0,49.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8984.0,2013-08-06,2013-08-06,6.0,29.0,14.0,0.8,50.0,62.0,43.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8985.0,2013-08-07,2013-08-07,3.0,36.0,19.0,0.8,61.0,65.0,43.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8986.0,2013-08-08,2013-08-08,2.0,34.0,20.0,0.8,74.0,73.0,47.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8987.0,2013-08-09,2013-08-09,3.0,38.0,24.0,0.8,49.0,66.0,35.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8988.0,2013-08-10,2013-08-10,1.0,34.0,21.0,0.8,67.0,69.0,53.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8989.0,2013-08-11,2013-08-11,1.0,48.0,30.0,0.7,75.0,69.0,44.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8990.0,2013-08-12,2013-08-12,1.0,38.0,22.0,0.7,49.0,66.0,45.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8991.0,2013-08-13,2013-08-13,1.0,39.0,22.0,0.7,57.0,68.0,40.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8992.0,2013-08-14,2013-08-14,1.0,40.0,22.0,0.7,79.0,71.0,39.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8993.0,2013-08-15,2013-08-15,1.0,43.0,23.0,0.5,62.0,71.0,56.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8994.0,2013-08-16,2013-08-16,3.0,44.0,25.0,0.6,81.0,76.0,53.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8995.0,2013-08-17,2013-08-17,4.0,37.0,22.0,0.5,57.0,61.0,49.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8996.0,2013-08-18,2013-08-18,4.0,27.0,14.0,0.4,41.0,53.0,54.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8997.0,2013-08-19,2013-08-19,5.0,32.0,18.0,0.8,61.0,69.0,44.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8998.0,2013-08-20,2013-08-20,3.0,42.0,20.0,0.6,50.0,59.0,37.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,8999.0,2013-08-21,2013-08-21,3.0,32.0,18.0,0.5,63.0,60.0,62.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,9000.0,2013-08-22,2013-08-22,8.0,36.0,21.0,0.5,55.0,67.0,50.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,9001.0,2013-08-23,2013-08-23,6.0,33.0,18.0,0.5,50.0,63.0,47.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,9002.0,2013-08-24,2013-08-24,1.0,33.0,18.0,0.7,61.0,68.0,37.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,9003.0,2013-08-25,2013-08-25,2.0,29.0,18.0,0.5,44.0,57.0,43.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,9004.0,2013-08-26,2013-08-26,3.0,32.0,20.0,0.8,67.0,69.0,30.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,9005.0,2013-08-27,2013-08-27,4.0,39.0,25.0,0.7,68.0,72.0,26.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,9006.0,2013-08-28,2013-08-28,5.0,46.0,27.0,0.9,84.0,70.0,18.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,9007.0,2013-08-29,2013-08-29,6.0,50.0,27.0,1.2,162.0,85.0,26.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,9008.0,2013-08-30,2013-08-30,4.0,51.0,27.0,1.1,142.0,80.0,41.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,9009.0,2013-08-31,2013-08-31,3.0,30.0,16.0,0.5,57.0,56.0,42.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,9010.0,2013-09-01,2013-09-01,4.0,29.0,15.0,0.5,41.0,52.0,37.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,9011.0,2013-09-02,2013-09-02,3.0,55.0,30.0,0.9,111.0,80.0,32.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,9012.0,2013-09-03,2013-09-03,4.0,65.0,34.0,1.2,166.0,91.0,28.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,9013.0,2013-09-04,2013-09-04,4.0,32.0,18.0,1.1,145.0,70.0,38.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,9014.0,2013-09-05,2013-09-05,5.0,29.0,16.0,1.0,58.0,53.0,25.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,9015.0,2013-09-06,2013-09-06,3.0,33.0,18.0,0.7,95.0,59.0,52.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,9016.0,2013-09-07,2013-09-07,2.0,37.0,19.0,0.7,75.0,54.0,50.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,9017.0,2013-09-08,2013-09-08,5.0,35.0,19.0,0.6,84.0,49.0,54.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,9018.0,2013-09-09,2013-09-09,3.0,37.0,20.0,0.4,64.0,50.0,27.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,9019.0,2013-09-10,2013-09-10,5.0,33.0,17.0,1.0,63.0,72.0,30.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,9020.0,2013-09-11,2013-09-11,2.0,45.0,23.0,0.7,106.0,85.0,29.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,9021.0,2013-09-12,2013-09-12,2.0,39.0,21.0,0.6,83.0,77.0,26.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,9022.0,2013-09-13,2013-09-13,3.0,45.0,23.0,0.4,94.0,70.0,18.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,9023.0,2013-09-14,2013-09-14,2.0,24.0,13.0,0.4,124.0,76.0,35.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,9024.0,2013-09-15,2013-09-15,4.0,27.0,15.0,0.2,78.0,77.0,36.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,9025.0,2013-09-16,2013-09-16,1.0,50.0,25.0,0.7,141.0,88.0,20.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
,9026.0,2013-09-17,2013-09-17,1.0,28.0,16.0,0.2,70.0,62.0,43.0,Στ. ΕΓΝΑΤΙΑΣ,,,,,
